fda_id,address
3736,"2900 BRIARPARK DRIVE, HOUSTON, TX 77042"
3737,"105 SEMINARY AVENUE SUITE 8, OAKDALE, PA 15071"
3738,"2020 NORTH TOWNSEND AVENUE, MONTROSE, CO 81401"
3739,"138 NORTH HIGHWAY 61, SCOTT CITY, MO 63780"
3740,"5021 TEASLEY LN, DENTON, TX 76210"
3741,"12336 PACIFIC HIGHWAY SOUTHWEST, LAKEWOOD, WA 98499"
3742,"17275 STATE HIGHWAY 36 SOUTH, SOMERVILLE, TX 77879"
3743,"9048 GEORGIA HIGHWAY 85, WAVERLY HALL, GA 31831"
3744,"2600 LAFAYETTE RD, CRAWFORDSVILLE, IN 47933"
3745,"5105 SOLBERG DRIVE SOUTHWEST SUITE B, LAKEWOOD, WA 98499"
3746,"1900 WEST WASHINGTON ST, WAUKEGAN, IL 60085"
3747,"8711 EAST PINNACLE PEAK ROAD, SCOTTSDALE, AZ 85255"
3748,"5310 N OLD 102, COLUMBIA CITY, IN 46725"
3749,"3030 WHITNEY AVENUE, HAMDEN, CT 06518"
3750,"1702 MOUNT HOLLY ROAD, SUITE #9, BURLINGTON TOWNSHIP, NJ 08016"
3751,"245 FRIES MILL ROAD, STE A, TURNERSVILLE, NJ 08012"
3752,"6920 OLIVE BOULEVARD, UNIVERSITY CITY, MO 63130"
3753,"263 EMAN PARK DRIVE, WINDSOR, CO 80550"
3754,"13022 STATE HIGHWAY 76, FORSYTH, MO 65653"
3755,"109 JOHNSON ROAD, TURNERSVILLE, NJ 08012"
3756,"2880 SOUTH CIRCLE DRIVE, COLORADO SPRINGS, CO 80906"
3757,"153 CALABASH DRIVE, SPOKANE, MO 65754"
3758,"23535 NORTH SCOTTSDALE ROAD, SCOTTSDALE, AZ 85255"
3759,"2606 FARM TO MARKET 174, BOWIE, TX 76230"
3760,"1805 WEST IH 10, SEGUIN, TX 78155"
3761,"15351 EAST ILLIF AVENUE, AURORA, CO 80013"
3762,"300 NORTH MACON STREET, BEVIER, MO 63537"
3763,"3312 EAST 29TH STREET, BRYAN, TX 77802"
3764,"15301 EAST ILIFF AVENUE, AURORA, CO 80013"
3765,"1401 GOLDEN SPRINGS ROAD, ANNISTON, AL 36207"
3766,"10145 SOUTH HIGHWAY 6, HOUSTON, TX 77498"
3767,"332 GARDEN OF THE GODS ROAD, COLORADO SPRINGS, CO 80907-0000"
3768,"5200 SOUTH GRAND BOULEVARD, ST LOUIS, MO 63111"
3769,"1000 SOUTH BEECH STREET, PICAYUNE, MS 39466"
3770,"311 WEST MAIN STREET, STERLING, CO 80751"
3771,"296 SMITH STREET, PERTH AMBOY, NJ 08861"
3772,"2819 STATE HIGHWAY 16 SOUTH, GRAHAM, TX 76450"
3773,"221 WINCHESTER STREET, BENTON, MO 63736"
3774,"5918 HAMPTON AVENUE, SAINT LOUIS, MO 63109"
3775,"1000 SIDNEY STREET, ST LOUIS, MO 63104"
3776,"435 SOUTH DELSEA DRIVE, CLAYTON, NJ 08312"
3777,"1800 LUCAS AND HUNT ROAD, SAINT LOUIS, MO 63121"
3778,"1210 SOUTH FLORISSANT ROAD, COOL VALLEY, MO 63121"
3779,"1427 CANNONBALL TRAIL, YORKVILLE, IL 60560"
3780,"8094 DIXIE HIGHWAY, LOUISVILLE, KY 40258"
3781,"790  GREYSTONE ROAD, GREENEVILLE, TN 37743"
3782,"6342 EAST ADMIRAL PLACE NORTH, TULSA, OK 74115"
3783,"7206 SAINT CHARLES ROCK ROAD, PAGEDALE, MO 63133"
3784,"2758 AIRPORT HIGHWAY, ALCOA, TN 37701"
3785,"5960 24TH STREET, SACRAMENTO, CA 95822"
3786,"90 WEST MAIN STREET, WESTMINISTER, MD 21157"
3787,"501 SOUTH POPLAR STREET, CENTRALIA, IL 62801"
3788,"7227 SOUTH CENTRAL AVENUE, PHOENIX, AZ 85042"
3789,"4727 EAST SOUTHERN AVENUE, SUITE B, PHOENIX, AZ 85042"
3790,"141 MOREHALL ROAD, MALVERN, PA 19355"
3791,"1609 NORTH TEXAS AVENUE, BRYAN, TX 77803"
