,fda_id,address,longitude,latitude
172,3673,"449 NORTH 6TH STREET, ALLENTOWN, PA 18102",-75.4728564,40.6096491
173,3674,"1187 S KINGSHIGHWAY BLVD, ST LOUIS, MO 63110",-90.2654301,38.6261538
174,3675,"1225 THIRD STREET, WHITEHALL, PA 18052",-75.4729594,40.641804
175,3676,"1070 SPILLWAY CIRCLE, BRANDON, MS 39047",-90.0394053,32.3836201
176,3677,"2412 TEXAS AVENUE SOUTH, COLLEGE STATION, TX 77840",-96.3113259,30.6066419
177,3678,"907 NORTH KAUFMAN STREET, ENNIS, TX 75119",-96.6287631,32.3354139
178,3679,"902 EAST DIVISION STREET, DOVER, DE 19901",-75.5106145,39.1649915
179,3680,"3820 YAKIMA AVENUE, TACOMA, WA 98418",-122.4437605,47.2222485
180,3681,"109 SOUTH STATE STREET, CROSSVILLE, IL 62827",-88.0639247,38.1592
181,3682,"1701 HARRISON STREET, MAYWOOD, IL 60153",-87.8535372,41.8715132
182,3683,"1913 DIXWELL AVENUE, HAMDEN, CT 06514",-72.9226506,41.3639836
183,3684,"102 EAST GEORGE RICHEY ROAD, WHITE OAK, TX 75693",-94.862233,32.561278
184,3685,"1655 FIRST AVENUE EAST, CAMBRIDGE, MN 55008",-93.2047681,45.5727245
185,3686,"7 NEWARK AVENUE, BELLEVILLE, NJ 07109",-74.1770294,40.783488
186,3687,"1340 S MAIN ST, AUBURN, IN 46706",-85.055199,41.358995
187,3688,"1224 SOUTH 4TH STREET, ALLENTOWN, PA 18103",-75.4603935,40.5893337
188,3689,"333  GROVE AVE, PRESCOTT, AZ 86301",-112.475596,34.546133
189,3690,"108  CREEK STREET P.O. BOX 205, LAKE CITY, TN 37769",-84.1598851,36.2198093
190,3691,"1026 WEILAND ROAD, BUFFALO GROVE, IL 60089",-87.949746,42.170627
191,3692,"19112 FREEPORT STREET NORTHWEST, ELK RIVER, MN 55330",-93.5643423,45.319796
