,address,longitude,latitude
150,"1423 Chain Bridge Road, Mclean, Va 22101",-77.1773175,38.9337254
151,"2651 Benning Road Northeast, Washington, Dc 20002",-76.969555,38.8976113
152,"13246 Gateway Center Drive, Gainesville, Va 20155",-77.60606,38.7966884
153,"4321 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",-76.9425831,38.9018472
154,"1751 Virginia Avenue, Harrisonburg, Va 22802",-78.8718119,38.480911
155,"1245 5th Street Nw, Washington, Dc 20001",-77.0187099,38.9071103
156,"1005 North Glebe Road, Suite 150, Arlington, Va 22201",-77.115557,38.8830583
157,"323 Pennsylvania Avenue Southeast, Washington, Dc 20003",-77.0013205,38.8864267
158,"3920 Robinson Tract Road, Pulaski, Va 24301",-80.7829437,37.07991
159,"2012 P Street Northwest, Washington, Dc 20036",-77.0454844,38.9094308
160,"3275 South Main Street, Harrisonburg, Va 22801",-78.9091854,38.4061031
161,"1772 Columbia Road Northwest, Washington, Dc 20009",-77.0411421,38.923418
162,"4472 Straightstone Road, Long Island, Va 24569",-79.1486772,37.0161474
163,"5633 Pittsville Road, Pittsville, Va 24139",-79.466527,36.982036
164,"22920 Us Highway 29, Chatham, Va 24531",-79.390531,36.90086
165,"3740 Grit Road, Hurt, Va 24563",-79.250962,37.071049
166,"5912 U S Highway 29, Blairs, Va 24527",-79.366754,36.691148
167,"901 East Fincastle Turnpike, Tazewell, Va 24651",-81.4933078,37.1304402
168,"18898 Us Highway 58, Castlewood, Va 24224",-82.2999586,36.8733633
169,"5033 Richmond Tappahannock Highway, Aylett, Va 23009",-77.1341961,37.7450832
170,"1005 Fincastle Turnpike, Tazewell, Va 24651",-81.5285479,37.1149444
171,"4300 Indian River Road, Chesapeake, Va 23325",-76.2256839,36.8211659
172,"2883 Highway 903, Bracey, Va 23919",-78.0087529,36.5779868
173,"4009 Cedar Lane, Portsmouth, Va 23703",-76.3773087,36.876905
174,"447 Cleburne Boulevard, Dublin, Va 24084",-80.6973887,37.0719984
175,"38842 Highway 58, La Crosse, Va 23950",-78.0955453,36.7016475
176,"526 Fort Evans Road, Leesburg, Va 20176",-77.5287126,39.1064805
177,"1449 Battlefield Boulevard North, Chesapeake, Va 23320",-76.2516132,36.7689671
178,"104 West Market Street, Leesburg, Va 20176",-77.5662998,39.1160947
179,"4933 Cleveland Street, Virginia Beach, Va 23462",-76.1472069,36.8405836
180,"1008 Great Bridge Boulevard, Chesapeake, Va 23320",-76.2723608,36.7550612
181,"1039 Fairfax Pike, Stephens City, Va 22655",-78.1791779,39.077203
182,"152 Fairfax Pike, Stephens City, Va 22655",-78.2120081,39.0804357
183,"760 Warrior Drive, Stephens City, Va 22655",-78.1776568,39.0923403
184,"3007 Mountain Road, Glen Allen, Va 23060",-77.5060456,37.6657184
185,"8800 Highway 15, Clarksville, Va 23927",-78.539942,36.6349509
186,"1328 Kempsville Road, Chesapeake, Va 23320",-76.203033,36.7624489
187,"613 Frost Avenue, Warrenton, Va 20186",-77.8124895,38.7166005
188,"1022 West Atlantic Street, South Hill, Va 23970",-78.1446548,36.7334592
189,"827 North Mecklenburg Avenue, South Hill, Va 23970",-78.1223047,36.7340852
190,"225 Hanbury Road East, Chesapeake, Va 23322",-76.2237252,36.6873558
191,"7565 Centreville Road, Manassas, Va 20111",-77.4479853,38.7915107
192,"11420 South Crater Road, Petersburg, Va 23805",-77.3553008,37.1557973
